obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_2_in_lawn,obs_2_x,obs_2_y,obs_2_t,obs_2_z,obs_2_speed,obs_3_in_lawn,obs_3_x,obs_3_y,obs_3_t,obs_3_z,obs_3_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_5_t,obs_5_z,obs_5_speed,obs_6_in_lawn,obs_6_x,obs_6_y,obs_6_t,obs_6_z,obs_6_speed,obs_7_in_lawn,obs_7_x,obs_7_y,obs_7_t,obs_7_z,obs_7_speed,obs_8_in_lawn,obs_8_x,obs_8_y,obs_8_t,obs_8_z,obs_8_speed,obs_9_in_lawn,obs_9_x,obs_9_y,obs_9_t,obs_9_z,obs_9_speed,obs_10_in_lawn,obs_10_x,obs_10_y,obs_10_t,obs_10_z,obs_10_speed,obs_11_in_lawn,obs_11_x,obs_11_y,obs_11_t,obs_11_z,obs_11_speed
False,656.8524077963451,369.55154580467024,0.0,0.0,753.6732917083352,False,692.7966496881626,529.4543162647293,0.0,0.0,871.9455664377764,False,330.83019773256177,501.5103577969149,0.0,0.0,600.8005149043695,False,65.73056710631413,585.9995396111472,0.0,0.0,589.6744592371235,False,387.98992132505316,623.5264215416477,0.0,0.0,734.3850334874434,False,210.4977589878008,601.2164968321741,0.0,0.0,637.0012422295878,False,122.1680383440149,319.6875424156959,0.0,0.0,342.2355247028164,False,979.8205251020565,73.27119931423623,0.0,0.0,982.556324115934,False,83.26518098733303,361.94870731598166,0.0,0.0,371.4026885909194,False,597.3715612252762,381.07311637869554,38.0,0.0,708.5686291300898,False,226.94688279094007,539.0138930830356,44.0,0.0,584.8425980937561
False,656.6494859139084,369.0302652808671,1.0,0.0,753.240920319832,False,692.8099799118241,529.4688885699201,1.0,0.0,871.9650063098225,False,330.7805311269243,501.41149782151865,1.0,0.0,600.6906441091196,False,65.6075927188546,586.102107593225,1.0,0.0,589.7626952830973,False,388.06889002457314,623.5361364249961,1.0,0.0,734.4350051792981,False,207.9417347793843,597.6181028950227,1.0,0.0,632.7615364186621,False,121.70917519306143,317.85403087603004,1.0,0.0,340.35908724509704,False,979.6622330994551,73.2062612079366,1.0,0.0,982.3936317186995,False,83.3092832875696,361.89410741225515,1.0,0.0,371.35936996607666,False,598.1115157505167,380.84913991487434,39.0,0.0,709.0722478332374,False,226.92154710005553,538.9735434872018,45.0,0.0,584.7955789140624
False,656.6166862337964,368.8055020916856,2.0,0.0,753.1022314491918,False,692.7099307951298,529.4377515489178,2.0,0.0,871.866607335874,False,330.8245462819709,501.42901233565397,2.0,0.0,600.7295022175799,False,65.65049284077381,585.9862450065518,2.0,0.0,589.652326839397,False,388.0586373399458,623.6639416173011,2.0,0.0,734.5380984590003,False,206.9369644966041,595.8654782878698,2.0,0.0,630.7761690887669,False,121.61555781600406,316.99640614267247,2.0,0.0,339.5247640603966,False,979.8052129070376,73.2581002382013,2.0,0.0,982.5400778036058,False,83.27896874627646,361.9843733003722,2.0,0.0,371.4405378376282,False,598.6071109144058,380.57540809704335,40.0,0.0,709.343439023385,False,227.00014297209083,538.9863758132152,46.0,0.0,584.8379076475926
False,656.4537431165155,368.639733488346,3.0,0.0,752.878987592324,False,692.7404199586282,529.4560406651296,3.0,0.0,871.9019373996435,False,330.7864824571002,501.443510291398,3.0,0.0,600.7206430527428,False,65.64794215152543,586.0139836823004,3.0,0.0,589.679609092878,False,388.00481413381004,623.6245478489527,3.0,0.0,734.4762164092335,False,206.4991158566619,595.1755994644543,3.0,0.0,629.9808560960053,False,121.3255718874262,315.7141726664938,3.0,0.0,338.2237916177685,False,979.8302200182701,73.21198691026248,3.0,0.0,982.5615782679475,False,83.30494614352735,361.9165217070189,3.0,0.0,371.3802400996626,False,599.1950732995118,380.384318662234,41.0,0.0,709.7372512067683,False,227.0065248339882,539.0023495304143,47.0,0.0,584.8551060874062
False,656.3155146716482,368.2075879517643,4.0,0.0,752.5469305126204,False,692.7155043923425,529.4681947237691,4.0,0.0,871.8895223877763,False,330.7123955493375,501.46791312970777,4.0,0.0,600.7002217983988,False,65.58924493494428,586.0346871702562,4.0,0.0,589.6936523466029,False,388.1199310118259,623.5686319019325,4.0,0.0,734.4895639426555,False,205.2375741869828,593.6856541610102,4.0,0.0,628.1601052396943,False,121.33975987350706,314.55723416546255,4.0,0.0,337.1492116140656,False,979.8022913354662,73.332460472981,4.0,0.0,982.5427114712373,False,83.23821758858331,362.0376394262549,4.0,0.0,371.4833148724977,False,599.4062737677385,380.22654827006716,42.0,0.0,709.831042602037,False,226.98415099654173,538.9838878237629,48.0,0.0,584.8294077226618
False,656.1078497918461,367.8683942349364,5.0,0.0,752.1998843628403,False,692.7533633805397,529.4481446902316,5.0,0.0,871.9074265029393,False,330.8292747720086,501.44935175376736,5.0,0.0,600.7490835785326,False,65.58533138210574,586.0564943682473,5.0,0.0,589.7148889791575,False,388.0404817836363,623.6059698407024,5.0,0.0,734.4792857009921,False,202.95798056029307,591.6277662408875,5.0,0.0,625.4721062208085,False,121.01570260314848,312.6236986113708,5.0,0.0,335.22884304604054,False,979.7683518394355,73.23860266112753,5.0,0.0,982.5018657416983,False,83.23216211667061,361.9454406070783,5.0,0.0,371.3921038294538,False,600.2436188734548,379.9474708991557,43.0,0.0,710.3889657370573,False,226.8306640419277,538.977363643748,49.0,0.0,584.7638400842402
False,655.7854859350782,367.1584096331477,6.0,0.0,751.571620890151,False,692.7001532064434,529.4479505225543,6.0,0.0,871.8650323099116,False,330.87955052643986,501.5052342736563,6.0,0.0,600.8234157890766,False,65.66259719468265,586.0387288763155,6.0,0.0,589.7058321004794,False,388.0175584101349,623.6477986255101,6.0,0.0,734.5026905090322,False,200.57400173233424,589.2685875059257,6.0,0.0,622.4687931070531,False,120.56015099934375,311.0011589847681,6.0,0.0,333.5513017496013,False,979.7414405049517,73.28698151416495,6.0,0.0,982.4786368680875,False,83.296688675094,361.9578651928811,6.0,0.0,371.4186782045613,False,600.6998973514526,379.86752054998937,44.0,0.0,710.7318058500282,False,226.74768924958462,538.8869015279105,50.0,0.0,584.6482765033846
False,655.3671331627805,365.9665720021901,7.0,0.0,750.624813773856,False,692.6604117355457,529.4641981864496,7.0,0.0,871.8433248851973,False,330.74104636563237,501.4988891507043,7.0,0.0,600.7418543521201,False,65.6769279993118,586.1337632836419,7.0,0.0,589.8018712520935,False,387.9592966382996,623.5401548649222,7.0,0.0,734.3805148402668,False,199.95478999871747,588.6889471205715,7.0,0.0,621.7206724127469,False,120.54358287271765,310.997376229058,7.0,0.0,333.5417865772593,False,979.7530939494544,73.25214831598224,7.0,0.0,982.4876601446123,False,83.1963908282631,361.90213018526026,7.0,0.0,371.34187924267064,False,601.0441987296899,379.4885827186871,45.0,0.0,710.8204507753367,False,226.8012522530325,538.7971811643021,51.0,0.0,584.5863584228949
False,655.1155585603132,365.3366284959491,8.0,0.0,750.0981583690085,False,692.7442885451303,529.478190919204,8.0,0.0,871.918461767482,False,330.83433733307083,501.46260523931153,8.0,0.0,600.7629342860706,False,65.63517845060134,585.997783934068,8.0,0.0,589.6620891882748,False,388.0049204358432,623.6007678794037,8.0,0.0,734.4560817245691,False,200.55192908238647,589.1589486466717,8.0,0.0,622.3578898263587,False,120.14456304397153,309.8094600158585,8.0,0.0,332.2899600414444,False,979.7765730026073,73.12928172950903,8.0,0.0,982.5019210418916,False,83.28140208186788,361.99377400293434,8.0,0.0,371.4502447833481,False,601.9232090584068,378.9404373741741,46.0,0.0,711.2716813430019,False,226.7217778109827,538.7479912964294,52.0,0.0,584.5101903814083
False,655.3323876565228,366.01706405485317,9.0,0.0,750.619097472835,False,692.7378986210208,529.4873746596849,9.0,0.0,871.9189618937492,False,330.8360255782222,501.4482529944743,9.0,0.0,600.7518841015851,False,65.65654047968539,586.0272664538331,9.0,0.0,589.6937665730514,False,388.0244606816422,623.4644472626541,9.0,0.0,734.3506649331816,False,201.14324119398916,589.6713575457472,9.0,0.0,623.0336374449358,False,119.27725510353335,307.65203711520553,9.0,0.0,329.9649065069938,False,979.8356630343935,73.26699077229235,9.0,0.0,982.5711060736911,False,83.21868194408188,361.9460921905421,9.0,0.0,371.38971805438376,False,602.3892345578969,378.390503451988,47.0,0.0,711.3734342902452,False,226.7199725869792,538.8124309287891,53.0,0.0,584.5688853276675
